股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,涨跌幅,收盘价_复权,开盘价_复权,最高价_复权,最低价_复权
bj430090,同辉信息,2021-11-15,10.0,10.27,7.94,8.15,9.7,17337157.0,153067422.0,724634780.4499999,1249668000.55,-0.15979381443298957,8.15,10.0,10.27,7.94
bj430090,同辉信息,2021-11-16,8.25,8.34,7.08,7.2,8.15,11899536.0,89324446.0,640168149.6,1104001178.4,-0.1165644171779141,7.200000000000001,8.25,8.34,7.080000000000001
bj430090,同辉信息,2021-11-17,7.39,7.41,7.08,7.33,7.2,6224739.0,45111949.0,651726741.19,1123934533.01,0.01805555555555549,7.33,7.39,7.410000000000001,7.08
bj430090,同辉信息,2021-11-18,7.33,7.33,6.63,6.74,7.33,8670648.0,60045676.0,599268517.8199999,1033467769.78,-0.08049113233287852,6.74,7.330000000000001,7.330000000000001,6.63
bj430090,同辉信息,2021-11-19,6.76,6.98,6.7,6.97,6.74,4744378.0,32477238.0,619718333.71,1068734474.09,0.03412462908011871,6.970000000000001,6.760000000000001,6.98,6.700000000000001
bj430090,同辉信息,2021-11-22,7.01,7.12,6.92,7.06,6.97,3162031.0,22306558.0,627720435.5799999,1082534488.82,0.012912482065997155,7.0600000000000005,7.010000000000001,7.120000000000001,6.920000000000001
bj430090,同辉信息,2021-11-23,7.11,7.57,6.95,7.41,7.06,6520835.0,47532125.0,658839720.63,1136201212.77,0.0495750708215299,7.410000000000001,7.110000000000001,7.570000000000001,6.950000000000001
bj430090,同辉信息,2021-11-24,7.32,7.58,7.19,7.24,7.41,3620149.0,26603816.0,643724639.3199999,1110134518.28,-0.022941970310391357,7.240000000000001,7.320000000000001,7.580000000000002,7.190000000000001
bj430090,同辉信息,2021-11-25,7.31,7.6,7.2,7.27,7.24,3175209.0,23370559.0,646392006.61,1114734523.19,0.004143646408839796,7.2700000000000005,7.3100000000000005,7.6000000000000005,7.200000000000001
bj430090,同辉信息,2021-11-26,7.26,7.26,6.87,6.9,7.27,4005734.0,27964257.0,613494476.7,1058001129.3,-0.05089408528198058,6.900000000000002,7.260000000000002,7.260000000000002,6.870000000000002
bj430090,同辉信息,2021-11-29,6.84,6.84,6.3,6.4,6.9,5493707.0,35985920.0,569038355.2,981334380.8,-0.07246376811594202,6.400000000000001,6.840000000000001,6.840000000000001,6.300000000000001
bj430090,同辉信息,2021-11-30,6.4,6.79,6.4,6.47,6.4,2782485.0,18208898.0,575262212.21,992067725.59,0.010937499999999822,6.470000000000001,6.400000000000001,6.790000000000001,6.400000000000001
bj430090,同辉信息,2021-12-01,6.47,6.5,6.2,6.44,6.47,3705073.0,23665087.0,572594844.9200001,987467720.68,-0.004636785162287382,6.44,6.47,6.499999999999999,6.2
bj430090,同辉信息,2021-12-02,6.42,6.63,6.36,6.43,6.44,2381931.0,15461334.0,571705722.49,985934385.71,-0.0015527950310559868,6.43,6.42,6.63,6.36
bj430090,同辉信息,2021-12-03,6.4,6.48,6.13,6.2,6.43,3651314.0,22744124.0,551255906.6,950667681.4,-0.035769828926905056,6.2,6.4,6.48,6.13
bj430090,同辉信息,2021-12-06,6.19,6.19,5.82,5.89,6.2,3584139.0,21444055.0,523693111.27,903134297.33,-0.050000000000000044,5.890000000000001,6.19,6.19,5.820000000000001
bj430090,同辉信息,2021-12-07,5.94,5.98,5.66,5.68,5.89,2284524.0,13151873.0,505021540.24,870934262.96,-0.035653650254668934,5.68,5.94,5.9799999999999995,5.66
bj430090,同辉信息,2021-12-08,5.83,6.18,5.58,6.08,5.68,4916661.0,29569006.0,540586437.44,932267661.76,0.07042253521126773,6.080000000000001,5.830000000000001,6.1800000000000015,5.580000000000001
